,QueueGroupId,datetime,CallOffered_diff,CallAnswered_diff
5708442,368,2020-12-19 08:09:56,0.0,2.0
5708522,368,2020-12-19 08:09:56,0.0,0.0
5708602,368,2020-12-19 08:09:56,0.0,0.0
5708682,368,2020-12-19 08:09:56,0.0,0.0
5708762,368,2020-12-19 08:09:56,0.0,0.0
5708842,368,2020-12-19 08:09:56,0.0,0.0
5708922,368,2020-12-19 08:09:56,0.0,0.0
5709002,368,2020-12-19 08:16:57,3.0,4.0
5709082,368,2020-12-19 08:18:06,2.0,2.0
5709163,368,2020-12-19 08:18:57,1.0,1.0
5709244,368,2020-12-19 08:19:56,3.0,3.0
5709325,368,2020-12-19 08:20:56,0.0,0.0
5709406,368,2020-12-19 08:21:56,0.0,0.0
5709487,368,2020-12-19 08:22:56,0.0,0.0
5709568,368,2020-12-19 08:23:56,0.0,0.0
5709649,368,2020-12-19 08:24:56,0.0,0.0
5709730,368,2020-12-19 08:25:56,1.0,1.0
5709811,368,2020-12-19 08:26:56,0.0,0.0
5709892,368,2020-12-19 08:27:56,0.0,0.0
5709973,368,2020-12-19 08:28:56,0.0,0.0
5710054,368,2020-12-19 08:29:56,0.0,0.0
5710135,368,2020-12-19 08:30:57,1.0,0.0
5710216,368,2020-12-19 08:31:56,0.0,1.0
5710297,368,2020-12-19 08:32:56,0.0,0.0
5710378,368,2020-12-19 08:33:56,1.0,0.0
5710459,368,2020-12-19 08:34:56,0.0,1.0
5710540,368,2020-12-19 08:35:56,1.0,1.0
5710621,368,2020-12-19 08:36:56,0.0,0.0
5710702,368,2020-12-19 08:37:56,1.0,0.0
5710783,368,2020-12-19 08:38:56,1.0,2.0
5710864,368,2020-12-19 08:39:56,3.0,2.0
5710945,368,2020-12-19 08:41:06,2.0,1.0
5711026,368,2020-12-19 08:42:06,0.0,0.0
5711107,368,2020-12-19 08:42:57,0.0,0.0
5711188,368,2020-12-19 08:43:56,0.0,1.0
5711269,368,2020-12-19 08:44:56,0.0,0.0
5711350,368,2020-12-19 08:45:56,1.0,1.0
5711431,368,2020-12-19 08:47:06,0.0,0.0
5711512,368,2020-12-19 08:47:56,0.0,0.0
5711594,368,2020-12-19 08:48:56,3.0,3.0
5711676,368,2020-12-19 08:49:57,1.0,1.0
5711758,368,2020-12-19 08:50:56,0.0,0.0
5711840,368,2020-12-19 08:52:07,1.0,1.0
5711922,368,2020-12-19 08:52:56,1.0,0.0
5712004,368,2020-12-19 08:53:57,0.0,1.0
5712086,368,2020-12-19 08:54:56,0.0,0.0
5712168,368,2020-12-19 08:55:57,1.0,0.0
5712250,368,2020-12-19 08:56:57,0.0,0.0
5712332,368,2020-12-19 08:57:57,0.0,1.0
5712414,368,2020-12-19 08:58:57,0.0,0.0
5712496,368,2020-12-19 08:59:56,2.0,1.0
5712578,368,2020-12-19 09:01:56,1.0,2.0
5712660,368,2020-12-19 09:02:56,0.0,0.0
5712742,368,2020-12-19 09:03:56,16.0,16.0
5712824,368,2020-12-19 09:04:57,2.0,2.0
5712906,368,2020-12-19 09:06:07,16.0,13.0
5712988,368,2020-12-19 09:06:57,1.0,1.0
5713070,368,2020-12-19 09:07:57,0.0,0.0
5713152,368,2020-12-19 09:08:57,1.0,1.0
5713234,368,2020-12-19 09:09:56,3.0,2.0
5713316,368,2020-12-19 09:10:56,1.0,2.0
5713398,368,2020-12-19 09:11:56,1.0,1.0
5713480,368,2020-12-19 09:12:57,2.0,2.0
5713562,368,2020-12-19 09:13:57,1.0,1.0
5713644,368,2020-12-19 09:14:57,1.0,1.0
5713726,368,2020-12-19 09:15:57,0.0,0.0
5713808,368,2020-12-19 09:16:56,2.0,2.0
5713890,368,2020-12-19 09:17:57,1.0,1.0
5713972,368,2020-12-19 09:18:56,4.0,3.0
5714054,368,2020-12-19 09:19:57,4.0,2.0
5714136,368,2020-12-19 09:20:57,1.0,1.0
5714218,368,2020-12-19 09:21:57,0.0,0.0
5714300,368,2020-12-19 09:22:57,0.0,1.0
5714382,368,2020-12-19 09:23:57,1.0,3.0
5714464,368,2020-12-19 09:25:07,3.0,1.0
5714546,368,2020-12-19 09:25:57,1.0,1.0
5714628,368,2020-12-19 09:26:56,0.0,2.0
5714710,368,2020-12-19 09:27:57,0.0,0.0
5714792,368,2020-12-19 09:28:57,0.0,0.0
5714874,368,2020-12-19 09:30:05,5.0,5.0
5714956,368,2020-12-19 09:30:57,2.0,2.0
5715038,368,2020-12-19 09:31:57,4.0,2.0
5715120,368,2020-12-19 09:33:07,3.0,1.0
5715202,368,2020-12-19 09:33:57,0.0,0.0
5715284,368,2020-12-19 09:34:57,0.0,2.0
5715366,368,2020-12-19 09:35:56,0.0,2.0
5715448,368,2020-12-19 09:36:56,1.0,1.0
5715530,368,2020-12-19 09:37:56,1.0,1.0
5715612,368,2020-12-19 09:38:56,0.0,0.0
5715694,368,2020-12-19 09:40:07,1.0,0.0
5715776,368,2020-12-19 09:41:07,0.0,1.0
5715858,368,2020-12-19 09:41:56,1.0,1.0
5715940,368,2020-12-19 09:42:57,0.0,0.0
5716022,368,2020-12-19 09:43:57,0.0,0.0
5716104,368,2020-12-19 09:44:56,2.0,2.0
5716186,368,2020-12-19 09:45:57,2.0,2.0
5716268,368,2020-12-19 09:46:57,2.0,2.0
5716350,368,2020-12-19 09:47:57,0.0,0.0
5716432,368,2020-12-19 09:48:57,1.0,1.0
5716514,368,2020-12-19 09:49:56,0.0,0.0
5716596,368,2020-12-19 09:50:57,0.0,0.0
5716678,368,2020-12-19 09:52:07,1.0,0.0
5716760,368,2020-12-19 09:52:57,0.0,1.0
5716842,368,2020-12-19 09:53:56,1.0,1.0
5716924,368,2020-12-19 09:54:56,0.0,0.0
5717006,368,2020-12-19 09:55:56,3.0,2.0
5717088,368,2020-12-19 09:56:56,0.0,1.0
5717170,368,2020-12-19 09:57:56,2.0,0.0
5717252,368,2020-12-19 09:58:56,1.0,0.0
5717334,368,2020-12-19 09:59:56,0.0,0.0
5717416,368,2020-12-19 10:01:57,0.0,0.0
5717498,368,2020-12-19 10:02:57,0.0,0.0
5717580,368,2020-12-19 10:04:07,0.0,0.0
5717662,368,2020-12-19 10:05:07,0.0,0.0
5717744,368,2020-12-19 10:06:07,0.0,1.0
5717826,368,2020-12-19 10:06:57,0.0,0.0
5717908,368,2020-12-19 10:08:07,0.0,0.0
5717990,368,2020-12-19 10:08:57,0.0,1.0
5718072,368,2020-12-19 10:09:57,0.0,0.0
5718154,368,2020-12-19 10:10:57,0.0,0.0
5718236,368,2020-12-19 10:11:57,0.0,0.0
5718318,368,2020-12-19 10:12:57,0.0,0.0
5718400,368,2020-12-19 10:14:06,0.0,0.0
5718482,368,2020-12-19 10:14:56,0.0,0.0
5718564,368,2020-12-19 10:15:56,0.0,0.0
5718646,368,2020-12-19 10:16:56,0.0,1.0
5718728,368,2020-12-19 10:17:56,0.0,0.0
5718810,368,2020-12-19 10:18:56,0.0,0.0
5718892,368,2020-12-19 10:19:56,1.0,1.0
5718974,368,2020-12-19 10:20:56,0.0,0.0
5719056,368,2020-12-19 10:21:57,0.0,0.0
5719138,368,2020-12-19 10:22:57,1.0,1.0
5719220,368,2020-12-19 10:23:56,0.0,0.0
5719302,368,2020-12-19 10:24:56,0.0,0.0
5719384,368,2020-12-19 10:25:56,0.0,0.0
5719466,368,2020-12-19 10:26:56,0.0,0.0
5719548,368,2020-12-19 10:27:56,0.0,0.0
5719630,368,2020-12-19 10:28:56,0.0,0.0
5719712,368,2020-12-19 10:29:56,0.0,0.0
5719794,368,2020-12-19 10:30:56,0.0,0.0
5719876,368,2020-12-19 10:31:56,0.0,0.0
5719958,368,2020-12-19 10:32:56,1.0,1.0
5720040,368,2020-12-19 10:33:56,0.0,0.0
5720122,368,2020-12-19 10:34:56,0.0,0.0
5720204,368,2020-12-19 10:36:06,0.0,0.0
5720286,368,2020-12-19 10:36:56,0.0,0.0
5720368,368,2020-12-19 10:37:56,1.0,0.0
5720450,368,2020-12-19 10:38:56,1.0,1.0
5720532,368,2020-12-19 10:39:56,0.0,0.0
5720614,368,2020-12-19 10:40:57,0.0,0.0
5720696,368,2020-12-19 10:41:57,0.0,1.0
5720778,368,2020-12-19 10:42:57,1.0,0.0
5720860,368,2020-12-19 10:43:57,0.0,0.0
5720942,368,2020-12-19 10:44:57,0.0,0.0
5721024,368,2020-12-19 10:46:06,0.0,0.0
5721106,368,2020-12-19 10:46:57,0.0,0.0
5721188,368,2020-12-19 10:47:57,0.0,0.0
5721270,368,2020-12-19 10:48:56,0.0,0.0
5721352,368,2020-12-19 10:49:57,0.0,1.0
5721434,368,2020-12-19 10:51:56,1.0,0.0
5721516,368,2020-12-19 10:52:56,0.0,0.0
5721598,368,2020-12-19 10:54:56,0.0,0.0
5721680,368,2020-12-19 10:56:06,0.0,0.0
5721762,368,2020-12-19 10:56:57,0.0,0.0
5721844,368,2020-12-19 10:57:56,0.0,0.0
5721926,368,2020-12-19 10:58:56,0.0,0.0
5722008,368,2020-12-19 10:59:56,0.0,0.0
5722090,368,2020-12-19 11:01:57,0.0,0.0
5722172,368,2020-12-19 11:02:57,0.0,0.0
5722254,368,2020-12-19 11:03:57,0.0,0.0
5722336,368,2020-12-19 11:04:57,0.0,0.0
5722418,368,2020-12-19 11:05:57,0.0,0.0
5722500,368,2020-12-19 11:06:57,0.0,0.0
5722582,368,2020-12-19 11:07:57,0.0,0.0
5722664,368,2020-12-19 11:08:57,0.0,0.0
5722746,368,2020-12-19 11:09:56,0.0,0.0
5722828,368,2020-12-19 11:11:07,0.0,0.0
5722910,368,2020-12-19 11:11:56,0.0,0.0
5722992,368,2020-12-19 11:12:56,0.0,0.0
5723074,368,2020-12-19 11:13:57,0.0,0.0
5723156,368,2020-12-19 11:14:57,0.0,0.0
5723238,368,2020-12-19 11:15:57,0.0,0.0
5723320,368,2020-12-19 11:16:56,0.0,0.0
5723402,368,2020-12-19 11:17:56,0.0,0.0
5723484,368,2020-12-19 11:18:56,0.0,0.0
5723566,368,2020-12-19 11:19:56,0.0,0.0
5723648,368,2020-12-19 11:20:56,0.0,0.0
5723730,368,2020-12-19 11:21:56,0.0,0.0
5723812,368,2020-12-19 11:22:56,0.0,0.0
5723894,368,2020-12-19 11:23:56,0.0,0.0
5723976,368,2020-12-19 11:24:56,0.0,0.0
5724058,368,2020-12-19 11:25:56,0.0,0.0
5724140,368,2020-12-19 11:26:56,0.0,0.0
5724222,368,2020-12-19 11:28:07,0.0,0.0
5724304,368,2020-12-19 11:28:56,0.0,0.0
5724386,368,2020-12-19 11:29:56,0.0,0.0
5724468,368,2020-12-19 11:30:56,0.0,0.0
5724550,368,2020-12-19 11:31:56,0.0,0.0
5724632,368,2020-12-19 11:32:56,0.0,0.0
5724714,368,2020-12-19 11:33:56,0.0,0.0
5724796,368,2020-12-19 11:34:56,0.0,0.0
5724878,368,2020-12-19 11:35:56,0.0,0.0
5724960,368,2020-12-19 11:36:56,0.0,0.0
5725042,368,2020-12-19 11:37:57,0.0,0.0
5725124,368,2020-12-19 11:38:57,0.0,0.0
5725206,368,2020-12-19 11:39:57,0.0,0.0
5725288,368,2020-12-19 11:40:57,0.0,0.0
5725370,368,2020-12-19 11:41:56,0.0,0.0
5725452,368,2020-12-19 11:42:57,0.0,0.0
5725534,368,2020-12-19 11:43:56,0.0,0.0
5725616,368,2020-12-19 11:44:56,0.0,0.0
5725698,368,2020-12-19 11:45:57,0.0,0.0
5725780,368,2020-12-19 11:47:06,0.0,0.0
5725862,368,2020-12-19 11:47:57,0.0,0.0
5725944,368,2020-12-19 11:48:57,0.0,0.0
5726026,368,2020-12-19 11:49:57,0.0,0.0
5726108,368,2020-12-19 11:50:56,0.0,0.0
5726190,368,2020-12-19 11:51:56,0.0,0.0
5726272,368,2020-12-19 11:52:56,0.0,0.0
5726354,368,2020-12-19 11:53:56,0.0,0.0
5726436,368,2020-12-19 11:54:56,0.0,0.0
5726518,368,2020-12-19 11:55:56,0.0,0.0
5726600,368,2020-12-19 11:56:56,0.0,0.0
5726682,368,2020-12-19 11:58:07,0.0,0.0
5726764,368,2020-12-19 11:58:56,0.0,0.0
5726846,368,2020-12-19 11:59:56,0.0,0.0
5726928,368,2020-12-19 12:01:56,0.0,0.0
5727010,368,2020-12-19 12:02:56,0.0,0.0
5727092,368,2020-12-19 12:03:56,0.0,0.0
5727174,368,2020-12-19 12:04:56,0.0,0.0
5727256,368,2020-12-19 12:06:07,0.0,0.0
5727338,368,2020-12-19 12:06:57,0.0,0.0
5727420,368,2020-12-19 12:08:06,0.0,0.0
5727502,368,2020-12-19 12:09:06,0.0,0.0
5727584,368,2020-12-19 12:09:56,0.0,0.0
5727666,368,2020-12-19 12:10:56,0.0,0.0
5727748,368,2020-12-19 12:11:56,0.0,0.0
5727830,368,2020-12-19 12:12:56,0.0,0.0
5727912,368,2020-12-19 12:13:56,0.0,0.0
5727994,368,2020-12-19 12:14:56,0.0,0.0
5728077,368,2020-12-19 12:15:56,0.0,0.0
5728160,368,2020-12-19 11:10:45,0.0,0.0
